"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3","Cosine_Sig4","PeakSensitive_Sig4","Cosine_Sig5","PeakSensitive_Sig5"
"SBS1",0.917,0.917039329963469,0.108,0.111441874273401,0.205,0.22970396388035,0.49,0.53746259112687,0.005,0.00723568935169177
"SBS4",0.082,0.0996382315867577,0.829,0.867689653154118,0.408,0.449006565283613,0.354,0.377351208732806,0.366,0.406343438379684
"SBS5",0.338,0.390009527211541,0.316,0.391505308164121,0.569,0.631369701171035,0.491,0.584480075654478,0.394,0.482606495236711
"SBS40a",0.297,0.344482223249314,0.413,0.501605018458538,0.564,0.646917958087368,0.555,0.651345224829614,0.387,0.479296387041738
"SBS17b",0.005,0.00521784418859208,0.004,0.00392833494331617,0.012,0.0129791069327526,0.03,0.0304461075576383,0.572,0.576675509727706
"SBS2",0.158,0.180253201596552,0.078,0.0896904310365206,0.172,0.171667581785894,0.205,0.204856324904148,0.026,0.0300436392994106
"SBS3",0.143,0.185134296183156,0.481,0.594389488208723,0.552,0.660439187734147,0.489,0.601744446381487,0.539,0.644856309640613
"SBS6",0.88,0.883586691864114,0.197,0.247401004773396,0.352,0.403978915581554,0.478,0.611643147025857,0.145,0.200360265458048
"SBS7a",0.186,0.193197461832022,0.092,0.0978081070353849,0.284,0.283792647668368,0.238,0.239630313225008,0.096,0.102102509208904
"SBS7b",0.156,0.17278887750396,0.074,0.0831725436071408,0.379,0.379188884210417,0.233,0.246400746069573,0.171,0.199460601414332
"SBS7c",0.043,0.0448645415938058,0.072,0.0789348590851293,0.104,0.113242479237394,0.165,0.183598120867064,0.149,0.160336490631171
"SBS7d",0.034,0.0360858999585095,0.029,0.0313081488345123,0.248,0.256225166707692,0.168,0.180336382579765,0.101,0.10814110431507
"SBS8",0.088,0.0996666398053635,0.594,0.650238331740981,0.347,0.411147529492857,0.36,0.410695119813942,0.405,0.450756781356756
"SBS9",0.129,0.151656019365938,0.155,0.191247962762712,0.235,0.301151502770618,0.265,0.298672320997659,0.517,0.631705034516328
"SBS10a",0.04,0.0404366712822895,0.214,0.21615657237225,0.024,0.0236060684272847,0.189,0.18923906718247,0.133,0.133185544075761
"SBS10b",0.311,0.329791554293149,0.063,0.0674152891085983,0.142,0.147323261831094,0.405,0.414607489634473,0.087,0.0905665653694107
"SBS10c",0.146,0.152310298209465,0.366,0.402464024004367,0.186,0.199502581198126,0.324,0.359544439198457,0.33,0.367890923578622
"SBS10d",0.042,0.0419676047597446,0.24,0.240643661566703,0.08,0.0800396555475628,0.279,0.28141517340624,0.167,0.167680111891776
"SBS11",0.147,0.146775019944977,0.105,0.107384570094004,0.345,0.345685325422209,0.184,0.200463807142155,0.183,0.19933797766322
"SBS12",0.079,0.0877730566390715,0.065,0.0843807825691585,0.302,0.35025114756872,0.189,0.222328400204984,0.196,0.219826215051605
"SBS13",0.011,0.0115240809144541,0.04,0.0407003500402326,0.064,0.0644526711215481,0.468,0.468751865496787,0.163,0.163203957020261
"SBS14",0.101,0.113251436054857,0.656,0.661404879063713,0.111,0.143953752494942,0.291,0.302830422196386,0.228,0.231425639436595
"SBS15",0.774,0.782122329289184,0.214,0.248072653209102,0.22,0.233269947255973,0.514,0.581027768160871,0.199,0.21162814472575
"SBS16",0.06,0.0606812825162828,0.119,0.142644907248204,0.126,0.145500832525071,0.257,0.267988893844174,0.132,0.137745145441692
"SBS17a",0.023,0.0248376229994347,0.018,0.0199758527820973,0.067,0.0685857028692102,0.035,0.0379338854188895,0.361,0.361585971189127
"SBS18",0.167,0.199543399484883,0.596,0.637184711251859,0.39,0.420734118704263,0.443,0.480584371619164,0.341,0.370252343727484
"SBS19",0.147,0.159731002490099,0.078,0.0960888169315531,0.368,0.374219069659499,0.155,0.180345791539469,0.186,0.194455602063675
"SBS20",0.194,0.196804014673445,0.702,0.729003409162685,0.205,0.22309813551311,0.2,0.228072048438227,0.156,0.174442481890278
"SBS21",0.088,0.104118407621889,0.069,0.0931137192876727,0.299,0.317610518736639,0.129,0.148236451990113,0.135,0.163390179788976
"SBS22a",0.023,0.0265980180783544,0.102,0.117280448351002,0.06,0.0696575809313208,0.113,0.137328822956339,0.168,0.191580810280089
"SBS22b",0.059,0.0709083996898159,0.129,0.135985714591115,0.122,0.139506825861735,0.178,0.194875888388968,0.146,0.161687105761174
"SBS23",0.214,0.223825619035558,0.086,0.0925896238798302,0.367,0.371979855535645,0.155,0.168027560120331,0.255,0.269840743296602
"SBS24",0.208,0.275081651159474,0.7,0.735411592497709,0.467,0.516723279422685,0.368,0.419785032105722,0.356,0.453052650008553
"SBS25",0.278,0.38373381342132,0.359,0.453722126512493,0.385,0.524702870643014,0.446,0.635250169388196,0.419,0.538329765324188
"SBS26",0.127,0.141269579751338,0.073,0.0918161313502332,0.261,0.302734596466173,0.188,0.21738842089341,0.242,0.271434149303091
"SBS27",0.074,0.0769336513772493,0.115,0.125666345200726,0.097,0.111303088422143,0.082,0.0935911999976062,0.069,0.0791529466360743
"SBS28",0.019,0.019421524818844,0.009,0.00968403871378789,0.023,0.024307453828997,0.033,0.0342850098466569,0.291,0.29925955785397
"SBS29",0.209,0.247916445721305,0.746,0.773277247434321,0.428,0.47189259543992,0.447,0.483628390095127,0.338,0.390097985308088
"SBS30",0.238,0.254960278737926,0.152,0.159038320019484,0.481,0.48923492522679,0.227,0.235036797481437,0.2,0.224577343116632
"SBS31",0.143,0.150958284017516,0.218,0.227022552933086,0.323,0.337813146204488,0.229,0.241961559106418,0.258,0.266572613436949
"SBS32",0.249,0.26201117845811,0.206,0.227921335739033,0.416,0.424432889821409,0.258,0.288783753492987,0.15,0.174717139257351
"SBS33",0.074,0.0744261024145918,0.041,0.0502053880783173,0.165,0.166274142801642,0.09,0.109665625478595,0.138,0.141176002406165
"SBS34",0.067,0.0679567640500709,0.036,0.0374591636008818,0.047,0.0488265011154415,0.071,0.0730639926197058,0.018,0.0182789876659003
"SBS35",0.105,0.126670490067639,0.571,0.582321917868711,0.302,0.353448504752988,0.303,0.351459870891899,0.397,0.426350105892545
"SBS36",0.078,0.0886138704590517,0.525,0.598445310014393,0.245,0.260062561259912,0.397,0.408341281156043,0.262,0.289646659374832
"SBS37",0.106,0.142114249208627,0.075,0.13213104123709,0.237,0.330190004931985,0.261,0.334926587779301,0.242,0.299823523150529
"SBS38",0.042,0.0424415792335616,0.488,0.489185405923972,0.265,0.300940374435691,0.119,0.120924717492262,0.304,0.342181582843134
"SBS39",0.135,0.167042844295706,0.236,0.273116159175525,0.406,0.447587680687819,0.5,0.540115691963852,0.372,0.450243376253388
"SBS40b",0.159,0.20554121488194,0.259,0.339160538663558,0.406,0.488301368414981,0.434,0.540697600017395,0.461,0.545840530319987
"SBS40c",0.267,0.315099873753536,0.349,0.443609079199937,0.521,0.612959464996203,0.44,0.562466732984695,0.468,0.562724037828303
"SBS41",0.155,0.179955480031371,0.08,0.0988455639129535,0.234,0.281307714442242,0.301,0.330745608650648,0.271,0.305208319178807
"SBS42",0.215,0.232101684653339,0.382,0.434981873976355,0.467,0.492527974436516,0.22,0.255515771401541,0.385,0.438616620724263
"SBS43",0.016,0.0188338939063607,0.098,0.116890911020692,0.102,0.115074941143415,0.111,0.122601650699989,0.181,0.19267769136919
"SBS44",0.368,0.37536291540276,0.441,0.49199434676365,0.298,0.321026359019623,0.299,0.344067277267007,0.227,0.255728301436285
"SBS45",0.05,0.0514666872803092,0.705,0.716541879997731,0.235,0.268713485824814,0.187,0.205780107489398,0.253,0.283959456491921
"SBS46",0.139,0.155698786008175,0.147,0.191065147180591,0.337,0.403281140189347,0.26,0.285282786473668,0.361,0.447477501212425
"SBS47",0.059,0.0707014060751422,0.118,0.132630348307024,0.144,0.155396850168583,0.235,0.247933694099638,0.105,0.119816465860911
"SBS48",0.018,0.018535116006508,0.055,0.0556130099596673,0.011,0.0107892553062797,0.058,0.058198487715553,0.039,0.0393769173276448
"SBS49",0.011,0.011702657516983,0.243,0.243460537370384,0.116,0.117335502130049,0.126,0.137939800580188,0.267,0.268857049537343
"SBS50",0.097,0.11656577039776,0.204,0.223421842395206,0.305,0.337856932919239,0.361,0.392261191679704,0.196,0.212913252020217
"SBS51",0.112,0.133360317589318,0.202,0.228469956745968,0.228,0.248258003541794,0.269,0.326478899345199,0.148,0.161744273653388
"SBS52",0.038,0.0384571052350889,0.141,0.140903027422324,0.117,0.122889394712289,0.273,0.286057663176023,0.11,0.11555402014163
"SBS53",0.067,0.0700433388401183,0.225,0.227361411697626,0.347,0.355444928746346,0.109,0.110806409006495,0.346,0.362679915260442
"SBS54",0.157,0.159253212953983,0.089,0.101896672670297,0.222,0.225611542606662,0.102,0.117017586248431,0.191,0.201675159408528
"SBS55",0.041,0.0492938947790938,0.087,0.0983419018260334,0.072,0.076672196276836,0.078,0.0886276704809406,0.174,0.19606504839756
"SBS56",0.039,0.0396469339954817,0.284,0.322510834606884,0.054,0.0551624097325965,0.263,0.265098692363281,0.151,0.153437979595815
"SBS57",0.134,0.162805927965934,0.096,0.116608482842006,0.161,0.192459936445919,0.204,0.24047370532373,0.232,0.245393672299403
"SBS58",0.11,0.127038297232494,0.147,0.15432808959369,0.211,0.240205618980842,0.351,0.393746911494928,0.159,0.197671575591636
"SBS59",0.023,0.0238909752867985,0.342,0.342937582466159,0.11,0.110556154481623,0.264,0.272966727555917,0.333,0.340257758261093
"SBS60",0.012,0.0119029029978263,0.07,0.0704998404760739,0.014,0.0136892185761177,0.021,0.0212438860649773,0.085,0.0856315512081608
"SBS84",0.186,0.199736030517249,0.138,0.16415666355213,0.38,0.405750368190753,0.174,0.204361292570597,0.283,0.34825736304896
"SBS85",0.059,0.068647736900843,0.048,0.0622925405551133,0.139,0.168508047222295,0.204,0.22318763561924,0.116,0.154903990556645
"SBS86",0.131,0.150372349687411,0.106,0.115144272840889,0.234,0.258390981710019,0.411,0.434521076646925,0.239,0.255628995464112
"SBS87",0.675,0.743786663345279,0.196,0.239226669133706,0.429,0.551141738739734,0.348,0.354898708976028,0.123,0.162328076074574
"SBS88",0.094,0.121439232215574,0.05,0.0657319414270826,0.042,0.0662076982341765,0.224,0.275371679160351,0.119,0.162316981666535
"SBS89",0.145,0.195061773819492,0.434,0.4978112493111,0.418,0.502654916760109,0.454,0.552367869684757,0.416,0.500139020888619
"SBS90",0.019,0.0217712013169005,0.024,0.0277292383852332,0.015,0.0178409562636874,0.093,0.100897813350636,0.079,0.0875315878633377
"SBS91",0.045,0.0456399843323269,0.116,0.116231679071054,0.124,0.125352593313853,0.222,0.222427477794519,0.078,0.0784918399928129
"SBS92",0.213,0.242908019536453,0.307,0.414635380378082,0.505,0.553319583265066,0.419,0.523308329789547,0.304,0.387115257253427
"SBS93",0.176,0.255673669789194,0.158,0.231157867368353,0.336,0.510348412472952,0.334,0.443131672974658,0.406,0.463944863180793
"SBS94",0.311,0.345566951481457,0.711,0.796479683553155,0.514,0.586932554194295,0.413,0.456617873637765,0.416,0.487976820427732
"SBS95",0.16,0.174854402806211,0.765,0.793190946602773,0.467,0.491187351001739,0.453,0.506060332027312,0.433,0.478886938270781
"SBS96",0.206,0.262680783962617,0.178,0.218839000244329,0.291,0.384664021733497,0.333,0.417421363663895,0.331,0.39524579631158
"SBS97",0.106,0.106030395969328,0.073,0.0733181895328582,0.51,0.511069065362122,0.1,0.100389205937692,0.182,0.200347241329343
"SBS98",0.331,0.396638699584382,0.174,0.201007328939589,0.288,0.338506122654052,0.3,0.363432621134359,0.218,0.269297487183198
"SBS99",0.106,0.137427489925388,0.155,0.192949802570457,0.37,0.417115803001825,0.294,0.362503172700225,0.314,0.357318073520499
